incident_no,incident_type,address,incident_date,incident_datetime,ESRI_OID,FID
7PA0108936,TRAFFIC STOP    , COLORADO / MADRE ST,1950800843,2017-11-17T22:28:59.000Z,113,21
7PA0108937,PUBLIC ASSIST   ,5000 BLOCK SHIPLEY GLEN CT LOS ANGEL,1950801027,2017-11-17T22:30:43.000Z,114,22
7PA0108938,LOCATION CHECK  ,0 BLOCK COLORADO BL,1950801286,2017-11-17T22:33:02.000Z,115,23
7PA0108938,LOCATION CHECK  ,0 BLOCK COLORADO BL,1950801286,2017-11-17T22:33:02.000Z,115,24
7PA0108939,415 MUSIC       ,800 BLOCK. WASHINGTON BL #7,1950801330,2017-11-17T22:33:46.000Z,116,25
7PA0108940,SUSP PERSON/VEH , GARFIELD / PARKE ST,1950801416,2017-11-17T22:34:32.000Z,117,26
7PA0108944,SUPERVISOR RQST , 2226 E. COLROADO,1950801798,2017-11-17T22:38:14.000Z,118,27
7PA0108945,TRAFFIC STOP    , COLORADO / SAN GABRIEL BL,1950801840,2017-11-17T22:38:56.000Z,119,28
7PA0108946,TRAFFIC STOP    , GREEN ST / ARROYO PK,1950802391,2017-11-17T22:44:07.000Z,120,29
7PA0108947,TRAFFIC STOP    , HOLLY / MARENGO AV,1950802711,2017-11-17T22:47:27.000Z,121,30
7PA0108948,TRAFFIC STOP    , FOOTHILL / SIERRA MADRE VILLA A,1950803089,2017-11-17T22:51:05.000Z,122,31
7PA0108949,TRAFFIC PURSUIT , FAIR OAKS / WASHINGTON BL,1950803230,2017-11-17T22:52:46.000Z,123,32
7PA0108950,TRANSIENT       ,400 BLOCK. LAKE AV,1950803238,2017-11-17T22:52:54.000Z,124,33
7PA0108951,PUBLIC INTOX    ,1400 BLOCKE. COLORADO BL,1950808184,2017-11-17T23:02:00.000Z,125,34
7PA0108952,415 MUSIC       ,100 BLOCK GREEN ST,1950808340,2017-11-17T23:03:56.000Z,126,35
7PA0108953,TRANSIENT       ,600 BLOCK. ARROYO PK,1950808506,2017-11-17T23:05:22.000Z,127,36
7PA0108954,TRAFFIC STOP    , LAKE / VILLA ST,1950808996,2017-11-17T23:10:12.000Z,128,37
7PA0108955,TRAFFIC STOP    , BERKELEY / COLORADO BL,1950809231,2017-11-17T23:12:47.000Z,129,38
7PA0108956,TRAFFIC STOP    , CORDOVA / LAKE AV,1950809891,2017-11-17T23:19:07.000Z,130,39
7PA0108957,SUPERVISOR RQST , FAIR OAKS / WASHINGTON BL,1950809932,2017-11-17T23:19:48.000Z,131,40
7PA0108958,TRAFFIC STOP    , FOOTHILL / SIERRA MADRE VILLA A,1950810112,2017-11-17T23:21:28.000Z,132,41
7PA0108959,SUPERVISOR RQST , FAIR OAKS / WASHINGTON BL,1950810132,2017-11-17T23:21:48.000Z,133,42
7PA0108960,415 MISC        ,2100 BLOCKE. COLORADO BL #515,1950810597,2017-11-17T23:26:13.000Z,134,43
7PA0108961,TRAFFIC STOP    , CRAIG / WALNUT ST,1950810598,2017-11-17T23:26:14.000Z,135,44
7PA0108962,TRAFFIC STOP    , PASADENA / UNION ST,1950810621,2017-11-17T23:26:37.000Z,136,45
7PA0108963,415 MISC        ,200 BLOCK. TREMONT ST,1950810641,2017-11-17T23:26:57.000Z,137,46
7PA0108964,PED TRAFFIC     , COLORADO / ROOSEVELT AV,1950810787,2017-11-17T23:28:03.000Z,138,47
7PA0108965,TRAFFIC STOP    , FAIR OAKS / HOLLY ST,1950811999,2017-11-17T23:40:15.000Z,139,48
7PA0108966,NON INJ TC      , FOOTHILL / SAN GABRIEL BL,1950812015,2017-11-17T23:40:31.000Z,140,49
7PA0108967,TRAFFIC STOP    , COLORADO / SAN MARINO AV,1950812807,2017-11-17T23:48:23.000Z,141,50
7PA0108968,LOCATION CHECK  ,100 BLOCK COLORADO BL,1950813118,2017-11-17T23:51:34.000Z,142,51
7PA0109015,415 FAMILY      ,1900 BLOCKE. VILLA ST #4,1951602002,2017-11-18T02:40:18.000Z,182,52
7PA0109016,415 MISC        ,1500 BLOCKE. COLORADO BL,1951603430,2017-11-18T02:54:46.000Z,183,53
7PA0109017,MENTAL HEALTH   ,2900 BLOCKE. COLORADO BL,1951609211,2017-11-18T03:12:27.000Z,184,54
7PA0109018,MENTAL HEALTH   ,400 BLOCKERCEDES AV,1951611324,2017-11-18T03:33:40.000Z,185,55
7PA0109019,OUTS JURISD BOOK,200 BLOCK. GARFIELD AV,1951611615,2017-11-18T03:36:31.000Z,186,56
7PA0109019,OUTS JURISD BOOK,200 BLOCK. GARFIELD AV,1951611615,2017-11-18T03:36:31.000Z,186,57
7PA0109021,415 MISC        ,400 BLOCK. MADISON AV #315,1951613327,2017-11-18T03:53:43.000Z,187,58
7PA0109022,BIKE TRAFFIC    , FOOTHILL / SUNNYSLOPE AV,1951613585,2017-11-18T03:56:01.000Z,188,59
7PA0109024,OUTS JURISD BOOK,200 BLOCK. GARFIELD AV,1951620397,2017-11-18T04:24:13.000Z,189,60
7PA0109024,OUTS JURISD BOOK,200 BLOCK. GARFIELD AV,1951620397,2017-11-18T04:24:13.000Z,189,61
7PA0109026,TRANSIENT       ,1000 BLOCKAN PASQUAL ST,1951623191,2017-11-18T04:52:07.000Z,190,62
7PA0109028,TRANSIENT       , FOOTHILL / SANTA PAULA AV,1951630430,2017-11-18T05:24:46.000Z,191,63
7PA0109030,415 MISC        , DE LACEY / VALLEY ST,1951640022,2017-11-18T06:20:38.000Z,192,64
7PA0109031,TRANSIENT       ,2500 BLOCKE. FOOTHILL BL #1,1951640225,2017-11-18T06:22:41.000Z,193,65
7PA0109032,WARRANT ARREST  , LAKE / MAPLE ST,1951641914,2017-11-18T06:39:30.000Z,194,66
7PA0109033,DRIVING VIOL    , COLUMBIA / FAIR OAKS AV,1951643790,2017-11-18T06:58:06.000Z,195,67
7PA0109034,415 THREATS     ,2900 BLOCKE. DEL MAR BL,1951650019,2017-11-18T07:20:35.000Z,196,68
7PA0109035,MENTAL HEALTH   , PASADENA / VALLEY ST,1951651489,2017-11-18T07:35:05.000Z,197,69
7PA0109036,MAL MIS MISD    ,400 BLOCK. LAKE AV,1951652199,2017-11-18T07:42:15.000Z,198,70
7PA0109037,TRANSIENT       ,1600 BLOCKE. COLORADO BL,1951653089,2017-11-18T07:51:05.000Z,199,71
7PA0109038,TRAFFIC STOP    , COLORADO/RAYMOND,1951653902,2017-11-18T07:59:18.000Z,200,72
7PA0109041,FOOTBEAT        ,0 BLOCK WASHINGTON BL,1951658921,2017-11-18T08:09:37.000Z,201,73
7PA0109043,PHYSICAL EVIDENC,400 BLOCK. LAKE AV,1951660239,2017-11-18T08:22:55.000Z,202,74
7PA0109044,OUTSIDE REFERRAL,300 BLOCK. COLORADO BL,1951660840,2017-11-18T08:28:56.000Z,203,75
7PA0109044,OUTSIDE REFERRAL,300 BLOCK. COLORADO BL,1951660840,2017-11-18T08:28:56.000Z,203,76
7PA0109044,REFERRED OUT    ,300 BLOCK. COLORADO BL,1951660840,2017-11-18T08:28:56.000Z,203,77
7PA0109044,REFERRED OUT    ,300 BLOCK. COLORADO BL,1951660840,2017-11-18T08:28:56.000Z,203,78
7PA0109048,TRANSIENT       , ALLEN / CLIFTON AL,1951662311,2017-11-18T08:43:27.000Z,204,79
7PA0109049,TRAFFIC STOP    , OGROVE/SO ROSEMONT,1951663485,2017-11-18T08:55:01.000Z,205,80
7PA0109051,MENTAL HEALTH   ,1000 BLOCKSUMMIT AV,1951668998,2017-11-18T09:10:14.000Z,206,81
7PA0109052,TRANSIENT       ,800 BLOCK. ARROYO PK,1951670304,2017-11-18T09:23:20.000Z,207,82
7PA0109053,TRANSIENT       ,400 BLOCKHOPPERS LN,1951670591,2017-11-18T09:26:07.000Z,208,83
7PA0109055,TRANSIENT       ,1000 BLOCKN. LAKE AV,1951671030,2017-11-18T09:30:46.000Z,209,84
7PA0109057,415 MISC        , ALLEN / VILLA ST,1951671209,2017-11-18T09:32:25.000Z,210,85
7PA0109058,GRAND THEFT     ,500 BLOCK S. LOS ROBLES AV,1951671398,2017-11-18T09:34:14.000Z,211,86
7PA0109060,TRANSIENT       ,100 BLOCK MENTOR AV,1951673411,2017-11-18T09:54:27.000Z,212,87
7PA0109062,415 MISC        , MONTANA / SUMMIT AV,1951678315,2017-11-18T10:03:31.000Z,213,88
7PA0109064,KEEP THE PEACE  ,1000 BLOCK. RAYMOND AV,1951678717,2017-11-18T10:07:33.000Z,214,89
7PA0109065,415 FAMILY      ,2100 BLOCKN. LOS ROBLES AV,1951679500,2017-11-18T10:15:16.000Z,215,90
7PA0109067,HEALTH & SAFETY ,200 BLOCK. RAYMOND AV,1951679693,2017-11-18T10:17:09.000Z,216,91
7PA0109068,PETTY THEFT     ,3400 BLOCKE. FOOTHILL BL,1951680010,2017-11-18T10:20:26.000Z,217,92
7PA0109069,PETTY THEFT     ,1800 BLOCKN. MADISON AV,1951680028,2017-11-18T10:20:44.000Z,218,93
7PA0109070,FOOTBEAT        ,600 BLOCK. FAIR OAKS AV,1951680520,2017-11-18T10:25:36.000Z,219,94
7PA0109071,415 FAMILY      ,300 BLOCKORONA DR,1951680894,2017-11-18T10:29:10.000Z,220,95
7PA0109072,CHECK WELFARE   ,300 BLOCK. HOLLISTON AV #7,1951681230,2017-11-18T10:32:46.000Z,221,96
7PA0109073,TROUBLE UNKNOWN ,800 BLOCK. ARROYO PK,1951681490,2017-11-18T10:35:06.000Z,222,97
7PA0109074,PED TRAFFIC     ,600 BLOCK. FAIR OAKS AV,1951681991,2017-11-18T10:40:07.000Z,223,98
7PA0109076,SUSP PERSON/VEH ,1400 BLOCKEDGEHILL PL,1951682542,2017-11-18T10:45:58.000Z,224,99
7PA0109077,415 BOY/GIRL    ,400 BLOCKS RAYMOND,1951682586,2017-11-18T10:46:02.000Z,225,100
7PA0109078,415 BOY/GIRL    ,500 BLOCK. COLORADO BL,1951682696,2017-11-18T10:47:12.000Z,226,101
7PA0108853,TROUBLE UNKNOWN ,300 BLOCKORDOVA ST,1950779415,2017-11-17T20:14:31.000Z,48,102
7PA0108854,SUPERVISOR RQST ,600 BLOCK. LAKE AV,1950779998,2017-11-17T20:20:14.000Z,49,103
7PA0108857,PED TRAFFIC     , OG JWO LOS ROBLES,1950780322,2017-11-17T20:23:38.000Z,50,104
7PA0108858,TRAFFIC STOP    , RAY NO MTN,1950780502,2017-11-17T20:25:18.000Z,51,105
7PA0108859,TRAFFIC STOP    , SUMMIT SO CLAREMONT,1950780726,2017-11-17T20:27:42.000Z,52,106
7PA0108860,TRAFFIC STOP    , SUMMIT SO CLAREMONT,1950780815,2017-11-17T20:28:31.000Z,53,107
7PA0108861,TRANSIENT       ,3400 BLOCKE. FOOTHILL BL,1950781336,2017-11-17T20:33:52.000Z,54,108
7PA0108862,PED TRAFFIC     , PEPPER CUL DE SAC,1950781516,2017-11-17T20:35:32.000Z,55,109
7PA0108863,TRAFFIC STOP    ,2000 BLOCK N. LOS ROB,1950781704,2017-11-17T20:37:20.000Z,56,110
7PA0108864,TRAFFIC STOP    , LINCO/IDAHO,1950781715,2017-11-17T20:37:31.000Z,57,111
7PA0108865,TRAFFIC STOP    , MTN MARENGO,1950781934,2017-11-17T20:39:50.000Z,58,112
7PA0108866,TRAFFIC STOP    , WILSON/MAPLE,1950782037,2017-11-17T20:40:53.000Z,59,113
7PA0108868,FOOTBEAT        , KINGS VILLAGES,1950782126,2017-11-17T20:41:42.000Z,60,114
7PA0108870,TRAFFIC STOP    , CLAREMONT WO FAIR OAKS,1950782717,2017-11-17T20:47:33.000Z,61,115
7PA0108871,SUSP PERSON/VEH ,1100 BLOCKLINDA VISTA WA,1950783424,2017-11-17T20:54:40.000Z,62,116
7PA0108872,SUSP PERSON/VEH ,1700 BLOCKLINCOLN AV,1950783798,2017-11-17T20:58:14.000Z,63,117
7PA0108873,MEDICAL ASSIST  ,900 BLOCKVENUE 64,1950788091,2017-11-17T21:01:07.000Z,64,118
7PA0108875,TRAFFIC STOP    , COLORADO / ROSEMEAD BL,1950788417,2017-11-17T21:04:33.000Z,65,119
7PA0108876,TRAFFIC STOP    , MARENGO / ORANGE GROVE BL,1950788792,2017-11-17T21:08:08.000Z,66,120
7PA0108877,TRAFFIC STOP    , /FAIR OAKS SO MONTANA,1950788825,2017-11-17T21:08:41.000Z,67,121
7PA0108878,SUSP PERSON/VEH , PASADENA NO OG,1950788895,2017-11-17T21:09:11.000Z,68,122
7PA0108879,TRAFFIC STOP    , OG/OAKLAND,1950788907,2017-11-17T21:09:23.000Z,69,123
7PA0108880,TRAFFIC STOP    , LINCOLN/MTN,1950789131,2017-11-17T21:11:47.000Z,70,124
7PA0108881,415 FAMILY      ,400 BLOCK. EUCLID AV,1950789304,2017-11-17T21:13:20.000Z,71,125
7PA0108883,BIKE TRAFFIC    , COLORADO/ROOSEVELT,1950789539,2017-11-17T21:15:55.000Z,72,126
7PA0108884,BIKE TRAFFIC    , COLORADO/WILSON,1950789789,2017-11-17T21:18:05.000Z,73,127
7PA0108885,TRAFFIC STOP    , COLORADO/APW,1950789922,2017-11-17T21:19:38.000Z,74,128
7PA0108886,415 FAMILY      ,1200 BLOCKGLEN AV,1950790033,2017-11-17T21:20:49.000Z,75,129
7PA0108887,TRAFFIC STOP    , LR/VILLA 99 CENT LOT,1950790088,2017-11-17T21:21:04.000Z,76,130
7PA0108888,TRAFFIC STOP    , R/375 E. MTN,1950790289,2017-11-17T21:23:05.000Z,77,131
7PA0108889,PED TRAFFIC     , MARENGO/OG,1950790325,2017-11-17T21:23:41.000Z,78,132
7PA0108890,FOOTBEAT        , FRAISER ALLEY/DE LACY,1950790334,2017-11-17T21:23:50.000Z,79,133
7PA0108893,415 MISC        , COLORADO / EL MOLINO AV,1950790791,2017-11-17T21:28:07.000Z,80,134
7PA0108894,MENTAL HEALTH   ,700 BLOCK. COLORADO BL,1950790800,2017-11-17T21:28:16.000Z,81,135
7PA0108897,TRAFFIC STOP    ,300 BLOCKOBINSON RD,1950791397,2017-11-17T21:34:13.000Z,82,136
7PA0108901,415 MUSIC       ,400 BLOCK. MARENGO AV,1950791984,2017-11-17T21:40:00.000Z,83,137
7PA0108902,TRAFFIC STOP    , FAIR OAKS SO WASHINGTON,1950792193,2017-11-17T21:42:09.000Z,84,138
7PA0108903,TRAFFIC STOP    , WASHINGTO EO RAYMOND,1950792217,2017-11-17T21:42:33.000Z,85,139
7PA0108905,CITIZEN FLAG    , RAY/COLORADO,1950792287,2017-11-17T21:43:03.000Z,86,140
7PA0108906,TRAFFIC STOP    , LOS ROB/HOWARD,1950792330,2017-11-17T21:43:46.000Z,87,141
7PA0108908,LOCATION CHECK  ,0 BLOCK COLORADO BL,1950792898,2017-11-17T21:49:14.000Z,88,142
7PA0108908,LOCATION CHECK  ,0 BLOCK COLORADO BL,1950792898,2017-11-17T21:49:14.000Z,88,143
7PA0108909,LOCATION CHECK  ,0 BLOCK COLORADO BL,1950793193,2017-11-17T21:52:09.000Z,89,144
7PA0108909,LOCATION CHECK  ,0 BLOCK COLORADO BL,1950793193,2017-11-17T21:52:09.000Z,89,145
7PA0108910,TRAFFIC STOP    , VILLA/EL MOLINA,1950793290,2017-11-17T21:53:06.000Z,90,146
7PA0108911,TRAFFIC STOP    , PEPPER CUL DE SAC,1950793334,2017-11-17T21:53:50.000Z,91,147
7PA0108912,VEHICLE REPO    ,200 BLOCK E. HAMMOND ST,1950793486,2017-11-17T21:55:02.000Z,92,148
7PA0108915,OUTSIDE ASSIST  ,500 BLOCK. COLORADO BL,1950798097,2017-11-17T22:01:13.000Z,93,149
7PA0108916,TROUBLE UNKNOWN ,200 BLOCK. HAMMOND ST,1950798120,2017-11-17T22:01:36.000Z,94,150
7PA0108917,PED TRAFFIC     , COLORADO / RAYMOND AV,1950798217,2017-11-17T22:02:33.000Z,95,151
7PA0108968,LOCATION CHECK  ,100 BLOCK COLORADO BL,1950813118,2017-11-17T23:51:34.000Z,142,152
7PA0109079,MISC FELONY     ,1300 BLOCKSUMMIT AV,1951683131,2017-11-18T10:51:47.000Z,227,153
7PA0108720,PUBLIC INTOX    ,3800 BLOCKE. FOOTHILL BL,1950709543,2017-11-17T13:15:59.000Z,1,154
7PA0108969,TRAFFIC STOP    ,3100 BLOCKE. COLORADO BL,1950813429,2017-11-17T23:54:45.000Z,143,155
7PA0108970,SUSPICIOUS CIRC , ALLEN / COLORADO BL,1950813439,2017-11-17T23:54:55.000Z,144,156
7PA0108971,LOCATION CHECK  ,0 BLOCK COLORADO BL,1950813537,2017-11-17T23:55:53.000Z,145,157
7PA0108971,LOCATION CHECK  ,0 BLOCK COLORADO BL,1950813537,2017-11-17T23:55:53.000Z,145,158
7PA0108972,TRAFFIC STOP    , FAIR OAKS / WALNUT ST,1951578132,2017-11-18T00:01:48.000Z,146,159
7PA0108973,LOCATION CHECK  ,100 BLOCK COLORADO BL,1951578521,2017-11-18T00:05:37.000Z,147,160
7PA0108973,LOCATION CHECK  ,100 BLOCK COLORADO BL,1951578521,2017-11-18T00:05:37.000Z,147,161
7PA0108975,TRAFFIC STOP    , LOS ROBLES / UNION ST,1951578917,2017-11-18T00:09:33.000Z,148,162
7PA0108976,SUSP PERSON     ,100 BLOCK NIDO AV #87,1951579203,2017-11-18T00:12:19.000Z,149,163
7PA0108977,LOCATION CHECK  ,100 BLOCK. COLORADO BL,1951579310,2017-11-18T00:13:26.000Z,150,164
7PA0108977,LOCATION CHECK  ,100 BLOCK. COLORADO BL,1951579310,2017-11-18T00:13:26.000Z,150,165
7PA0109080,CHECK WELFARE   , COLORADO / SIERRA MADRE BL,1951683489,2017-11-18T10:55:05.000Z,228,166
7PA0108978,LOCATION CHECK  ,100 BLOCK COLORADO BL,1951580140,2017-11-18T00:21:56.000Z,151,167
7PA0108978,LOCATION CHECK  ,100 BLOCK COLORADO BL,1951580140,2017-11-18T00:21:56.000Z,151,168
7PA0108979,SHOTS FIRED     ,1100 BLOCKROSEWALK WY,1951580491,2017-11-18T00:25:07.000Z,152,169
7PA0108980,TRAFFIC STOP    , HOLLY / RAYMOND AV,1951580519,2017-11-18T00:25:35.000Z,153,170
7PA0108981,OUTSIDE ASSIST  , LINCOLN / WESTGATE ST,1951580605,2017-11-18T00:26:21.000Z,154,171
7PA0108982,TRAFFIC STOP    , COLORADO / HILL AV,1951580726,2017-11-18T00:27:42.000Z,155,172
7PA0108983,LOCATION CHECK  ,0 BLOCK COLORADO BL,1951580785,2017-11-18T00:28:01.000Z,156,173
7PA0108983,LOCATION CHECK  ,0 BLOCK COLORADO BL,1951580785,2017-11-18T00:28:01.000Z,156,174
7PA0108985,SUPERVISOR RQST , HOLLY / RAYMOND AV,1951582725,2017-11-18T00:47:41.000Z,157,175
7PA0108986,SUSP PERSON     ,100 BLOCK NIDO AV,1951583090,2017-11-18T00:51:06.000Z,158,176
7PA0108987,MEDICAL ASSIST  ,100 BLOCK COLORADO BL,1951583120,2017-11-18T00:51:36.000Z,159,177
7PA0108988,CRITICAL MISSING,900 BLOCKVENUE 64,1951583221,2017-11-18T00:52:37.000Z,160,178
7PA0108989,TRAFFIC STOP    , EL MOLINO / ORANGE GROVE BL,1951583604,2017-11-18T00:56:20.000Z,161,179
7PA0108990,LOCATION CHECK  ,100 BLOCK. COLORADO BL,1951583896,2017-11-18T00:59:12.000Z,162,180
7PA0108990,LOCATION CHECK  ,100 BLOCK. COLORADO BL,1951583896,2017-11-18T00:59:12.000Z,162,181
7PA0108991,TRAFFIC STOP    , COLORADO / SIERRA MADRE BL,1951588096,2017-11-18T01:01:12.000Z,163,182
7PA0108992,BIKE TRAFFIC    , SIERRA MADRE / WALNUT ST,1951588397,2017-11-18T01:04:13.000Z,164,183
7PA0108993,LOCATION CHECK  ,100 BLOCK COLORADO BL,1951588897,2017-11-18T01:09:13.000Z,165,184
7PA0108993,LOCATION CHECK  ,100 BLOCK COLORADO BL,1951588897,2017-11-18T01:09:13.000Z,165,185
7PA0109081,415 MISC        ,800 BLOCK. LAKE AV,1951683606,2017-11-18T10:56:22.000Z,229,186
7PA0108995,TRAFFIC STOP    , GREEN / RAYMOND AV,1951589033,2017-11-18T01:10:49.000Z,166,187
7PA0108810,PED TRAFFIC     , LOS ROBLES / MOUNTAIN ST,1950762287,2017-11-17T18:43:03.000Z,2,188
7PA0109082,ADW             ,100 BLOCK. CALIFORNIA BL,1951688096,2017-11-18T11:01:12.000Z,230,189
7PA0108904,TRAFFIC STOP    , OAK KNOLL NO GREEN,1950792238,2017-11-17T21:42:54.000Z,3,190
7PA0108996,TRAFFIC STOP    , COLORADO / RAYMOND AV,1951589110,2017-11-18T01:11:26.000Z,167,191
7PA0109087,TRANSIENT       , ALLEN / CORSON ST,1951690041,2017-11-18T11:20:57.000Z,231,192
7PA0108974,CHECK WELFARE   ,900 BLOCK. ARROYO PK,1951578697,2017-11-18T00:07:13.000Z,4,193
7PA0108998,LOCATION CHECK  ,100 BLOCK COLORADO BL,1951589229,2017-11-18T01:12:45.000Z,168,194
7PA0108998,LOCATION CHECK  ,100 BLOCK COLORADO BL,1951589229,2017-11-18T01:12:45.000Z,168,195
7PA0108999,415 FAMILY      ,1300 BLOCKMEDFORD RD,1951589426,2017-11-18T01:14:42.000Z,169,196
7PA0109000,415 MISC        ,400 BLOCKARTELO AV,1951589622,2017-11-18T01:16:38.000Z,170,197
7PA0109001,LOCATION CHECK  ,0 BLOCK COLORADO BL,1951589812,2017-11-18T01:18:28.000Z,171,198
7PA0109001,LOCATION CHECK  ,0 BLOCK COLORADO BL,1951589812,2017-11-18T01:18:28.000Z,171,199
7PA0109002,TRANSIENT       ,1400 BLOCKE. COLORADO BL,1951590518,2017-11-18T01:25:34.000Z,172,200
7PA0109003,LOCATION CHECK  ,100 BLOCK. COLORADO BL,1951590910,2017-11-18T01:29:26.000Z,173,201
7PA0109003,LOCATION CHECK  ,100 BLOCK. COLORADO BL,1951590910,2017-11-18T01:29:26.000Z,173,202
7PA0109004,LOCATION CHECK  ,100 BLOCK. COLORADO BL,1951591197,2017-11-18T01:32:13.000Z,174,203
7PA0109004,LOCATION CHECK  ,100 BLOCK. COLORADO BL,1951591197,2017-11-18T01:32:13.000Z,174,204
7PA0109006,TRAFFIC STOP    , CALIFORNIA / LOS ROBLES AV,1951591929,2017-11-18T01:39:45.000Z,175,205
7PA0109007,415 FIGHT       , COLORADO / RAYMOND AV,1951592293,2017-11-18T01:43:09.000Z,176,206
7PA0109009,PHOTO REQUEST   , COLORADO / RAYMOND AV,1951598620,2017-11-18T02:06:36.000Z,177,207
7PA0109010,DUI             , RAYMOND / WALNUT ST,1951598643,2017-11-18T02:06:59.000Z,178,208
7PA0109011,PUBLIC ASSIST   , FAIR OAKS / UNION ST,1951598905,2017-11-18T02:09:21.000Z,179,209
7PA0109013,415 FIGHT       ,200 BLOCK. HOLLY ST,1951599585,2017-11-18T02:16:01.000Z,180,210
7PA0109198,VIOL COURT ORDER, BELL / MAR VISTA AV,1951762791,2017-11-18T18:48:07.000Z,325,211
7PA0109199,PED TRAFFIC     , CEDAR/EL SERENO,1951762808,2017-11-18T18:48:24.000Z,326,212
7PA0109200,TRAFFIC STOP    , RAYMOND/MOUNTAIN,1951762997,2017-11-18T18:50:13.000Z,327,213
7PA0109201,SUSP PERSON/VEH , SUMMIT/CLAREMONT,1951763108,2017-11-18T18:51:24.000Z,328,214
7PA0109202,TROUBLE UNKNOWN , COLORADO / WILSON AV,1951763330,2017-11-18T18:53:46.000Z,329,215
7PA0109203,SUSP PERSON/VEH , SAN PASQUAL/SHOPPERS LANE,1951763489,2017-11-18T18:55:05.000Z,330,216
7PA0109204,PED TRAFFIC     ,1400 BLOCK SUMMIT,1951763737,2017-11-18T18:57:53.000Z,331,217
7PA0109205,DOMESTIC VIOLENC,400 BLOCK. ARROYO PK #316,1951763793,2017-11-18T18:58:09.000Z,332,218
7PA0109206,TC HIT/RUN      ,0 BLOCK GREEN ST,1951767991,2017-11-18T19:00:07.000Z,333,219
7PA0109207,415 FAMILY      ,100 BLOCK. ORANGE GROVE BL #12,1951768088,2017-11-18T19:01:04.000Z,334,220
7PA0109209,TRAFFIC STOP    , CLAREMONT/FAIROAKS,1951768518,2017-11-18T19:05:34.000Z,335,221
7PA0109210,PED TRAFFIC     , LOS ROBLES/VILLA,1951768535,2017-11-18T19:05:51.000Z,336,222
7PA0109213,MISC FELONY     , CLAREMONT/LINCOLN,1951769922,2017-11-18T19:19:38.000Z,337,223
7PA0109045,415 MISC        , MENTOR / UNION ST,1951661188,2017-11-18T08:32:04.000Z,5,224
7PA0109214,415 MUSIC       ,700 BLOCKLMIRA ST,1951770030,2017-11-18T19:20:46.000Z,338,225
7PA0109088,VEH IMPOUND     ,100 BLOCK PARKWOOD AV,1951690713,2017-11-18T11:27:29.000Z,232,226
7PA0109139,FOOTBEAT        ,2100 BLOCKE. COLORADO BL,1951728021,2017-11-18T15:00:37.000Z,6,227
7PA0109215,415 MISC        ,1800 BLOCKE. COLORADO BL,1951770385,2017-11-18T19:24:01.000Z,339,228
7PA0109088,VEH IMPOUND     ,100 BLOCK PARKWOOD AV,1951690713,2017-11-18T11:27:29.000Z,232,229
7PA0109222,FOUND PROPERTY  ,1700 BLOCKE. COLORADO BL,1951772227,2017-11-18T19:42:43.000Z,7,230
